id,site,is_active,is_new,first_date,last_date,days_online,url,type,nb_units,nb_units_residential,nb_units_commercial,lat,lng,address,city,borough,first_price,last_price,is_price_changed,potential_revenue
28491683,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~massueville/28491683?view=Summary,Duplex,2.0,,,45.911514,-72.931888,"812 - 816, Rue d'Orléans",Massueville,,114900.0,114900.0,0,10080.0
28930599,centris,0,0,2020-03-29,2020-05-20,52,https://www.centris.ca/en/duplexes~for-sale~saint-jean-sur-richelieu/28930599?view=Summary,Duplex,2.0,,,45.28054766,-73.24060971,"157Z, Rue Rougemont",Saint-Jean-sur-Richelieu,,525000.0,525000.0,0,34800.0
9826972,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~longueuil-le-vieux-longueuil/9826972?view=Summary,Duplex,2.0,,,45.539308,-73.505352,"23 - 25, Rue Saint-Laurent Ouest",Longueuil,Le Vieux-Longueuil,479000.0,479000.0,0,18600.0
24745784,centris,0,0,2020-03-29,2020-04-26,28,https://www.centris.ca/en/triplexes~for-sale~longueuil-le-vieux-longueuil/24745784?view=Summary,Triplex,3.0,,,45.51993245,-73.49762827,"1289 - 1293, Rue Cartier",Longueuil,Le Vieux-Longueuil,411000.0,411000.0,0,30000.0
18639522,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~saint-zotique/18639522?view=Summary,Duplex,2.0,,,45.25634491,-74.21780736,"160 - 160A, Rue Principale",Saint-Zotique,,525000.0,525000.0,0,24000.0
9385679,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~farnham/9385679?view=Summary,Duplex,2.0,,,45.280388,-72.980664,"116 - 118, Rue Saint-Patrick Nord",Farnham,,239000.0,239000.0,0,12600.0
11808196,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~granby/11808196?view=Summary,Triplex,3.0,,,45.394734,-72.784734,"1161, Rue Cowie",Granby,,234900.0,234900.0,0,18300.0
11223286,centris,0,0,2020-03-29,2020-04-28,30,https://www.centris.ca/en/duplexes~for-sale~chambly/11223286?view=Summary,Duplex,2.0,,,45.452741,-73.306065,"1238 - 1240, Rue Notre-Dame",Chambly,,329900.0,329900.0,0,18720.0
14890221,centris,0,0,2020-03-29,2020-05-11,43,https://www.centris.ca/en/duplexes~for-sale~granby/14890221?view=Summary,Duplex,2.0,,,45.397764,-72.739424,"174 - 176, Rue Laval Sud",Granby,,199900.0,199900.0,0,14460.0
25536662,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~cowansville/25536662?view=Summary,Duplex,2.0,,,45.20897115,-72.75819044,"127 - 127A, boulevard des Vétérans",Cowansville,,144000.0,144000.0,0,15060.0
13480023,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~granby/13480023?view=Summary,Duplex,2.0,,,45.38424439,-72.75218168,"551 - 553, Rue Delorme",Granby,,274500.0,274500.0,0,18600.0
25274792,centris,0,0,2020-03-29,2020-05-01,33,https://www.centris.ca/en/duplexes~for-sale~salaberry-de-valleyfield/25274792?view=Summary,Duplex,2.0,,,45.25242178,-74.14614138,"200 - 200A, Rue Ellice",Salaberry-de-Valleyfield,,235000.0,235000.0,0,18180.0
12346962,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~longueuil-saint-hubert/12346962?view=Summary,Duplex,2.0,,,45.481993,-73.44489300000002,"5200Z, Montée Saint-Hubert",Longueuil,Saint-Hubert,329000.0,329000.0,0,22800.0
27077263,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~saint-jean-sur-richelieu/27077263?view=Summary,Duplex,2.0,,,45.30590972,-73.26110292,"290 - 292, Rue Saint-Jacques",Saint-Jean-sur-Richelieu,,237500.0,237500.0,0,15600.0
10382578,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~granby/10382578?view=Summary,Duplex,2.0,,,45.398004,-72.716114,"64 - 68, Rue Drummond",Granby,,229000.0,229000.0,0,16800.0
24034023,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~sorel-tracy/24034023?view=Summary,Duplex,2.0,,,46.046268,-73.10630400000002,"185 - 185A, Rue George",Sorel-Tracy,,139900.0,139900.0,0,13680.0
28025312,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~la-presentation/28025312?view=Summary,Duplex,2.0,,,45.690211,-73.09751800000002,"1325 - 1327, Route 137",La Présentation,,509000.0,509000.0,0,33420.0
10448608,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~waterloo/10448608?view=Summary,Triplex,3.0,,,45.34487782,-72.52566,"425 - 427A, Rue Stevens",Waterloo,,187000.0,187000.0,0,19140.0
13043929,centris,0,0,2020-03-29,2020-05-18,50,https://www.centris.ca/en/duplexes~for-sale~salaberry-de-valleyfield/13043929?view=Summary,Duplex,2.0,,,45.26217114,-74.10195995,"516 - 518, Rue Hébert",Salaberry-de-Valleyfield,,279900.0,269900.0,1,21300.0
27938609,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/4plex~for-sale~yamaska/27938609?view=Summary,Quadruplex,4.0,,,46.00883731,-72.91737905,"145 - 151, Rue Saint-Michel",Yamaska,,459000.0,459000.0,0,33300.0
24496674,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/4plex~for-sale~roxton-falls/24496674?view=Summary,Quadruplex,4.0,,,45.573532,-72.521937,"273, Rue Notre-Dame",Roxton Falls,,269000.0,269000.0,0,23580.0
